volcano_name,min_lon,min_lat,max_lon,max_lat
Espanola,-89.74608150136015,-1.4118595008152397,-89.61803189875309,-1.344309997408402
Floreana,-90.51123919793059,-1.3602408012719138,-90.352268201816,-1.2201257016397449
Santa Fe,-90.09148530040625,-0.8399104978711307,-90.02749609966526,-0.798699899680571
San Cristobal,-89.62830350100575,-0.9560474009667246,-89.24107129920105,-0.6849395000578511
Pinzon,-90.68907240196972,-0.6346265010121783,-90.6427807996941,-0.587217098090548
Santa Cruz,-90.55003239957557,-0.7753007990925767,-90.16886290090213,-0.4817081005483601
Baltra,-90.29885589888062,-0.48423889980534796,-90.24747760250932,-0.4109941994227029
Rabida,-90.72055370169193,-0.4276566997967848,-90.69705629890905,-0.39758569892080686
Seymour,-90.29359540000769,-0.4009631019655444,-90.27584580094293,-0.3884117021382849
Fernandina,-91.66181640030658,-0.5066474996823445,-91.37685350168772,-0.259963501114612
Santiago,-90.87168309879593,-0.37513969893791455,-90.54636600118994,-0.14567089979215098
Genovesa,-89.97805150127573,0.29970869919714005,-89.93584869815885,0.34653199775351595
Marchena,-90.54310449827392,0.2770516013503652,-90.4011380974452,0.3877220994953632
Pinta,-90.79054580154747,0.5398816996807341,-90.71840249817672,0.6436304011221523
Alcedo,-91.24848988819775,-0.6071705101109046,-90.94137623162777,-0.2925859784600675
Darwin,-91.41014157537336,-0.38714051042614983,-91.10919138827194,-0.1023288534937592
Ecuador,-91.59555645096941,-0.05537204158639497,-91.45566301353722,0.05337242799521391
South,-91.51577985675493,-1.0568789795811995,-90.77983582476344,-0.5720328538330932
Wolf,-91.51033254441137,-0.10544829140548018,-91.18461966956204,0.1667184586899566
Archipelago,-91.66181640030658,-1.4118595008152397,-89.24107129920105,0.6436304011221523
Isabela,-91.59555645096941,-1.0568789795811995,-90.77983582476344,0.1667184586899566
